"rd_logD","rd_MR"
2.72,129.53
0.15,34.51
2.21,106.23
2.42,80.15
5.34,142.54
2.15,89.67
0.69,103.07
-2.96,85.89
2.69,110.48
-0.82,42.08
3.53,194.1
0.45,72.77
1.03,79.08
1.49,46.81
3.06,100.68
2.17,107.17
3.17,83.72
0.46,105.02
1.26,119.38
3.2,114.12
2.95,73.53
1.82,46.66
2.6,90.11
3.83,152.95
-0.62,101.82
2.07,94.15
1.11,72.57
2.34,93.95
3.14,91.32
2.87,91.39
2.51,116.46
1.31,58.1
2.04,83.77
0.02,51.2
1.75,94.14
4.57,96.35
1.82,99.94
2,80.49
1.48,74.9
1.81,113.62
1.63,118.58
0.41,122.69
3.75,97.26
-3.43,106.64
0.05,73.19
1.93,127.35
1.38,127.12
2.63,100.11
0.11,61.64
1.76,95.14
1.78,145.14
2.41,89.59
1.13,93.12
0.52,36.11
0.32,56.66
4.62,188.18
5.61,227.4
0.53,69.74
4.19,152.91
1.25,71.46
2.78,106.07
3.39,119.01
3.22,127.22
2.55,86.69
2.69,81.14
1.78,48.86
1.29,73.94
-0.64,76.86
-3.46,33.83
1.35,81.66
1.2,75.45
0.82,40.7
-1.55,111.87
3.18,79.18
1.3,87.19
0.79,53.42
-1.06,36.85
3.17,97.2
1.2,42.41
-1.74,34.75
-1.48,84.09
2.03,111.85
1.41,55.75
3.45,82.72
1.58,70.56
4.01,187.31
1.76,104.6
1.03,68.05
2.71,86.29
1.8,77.38
2.07,69.74
-0.16,61.9
1.03,106.78
-1.24,107.08
-0.17,81.1
-0.88,32.44
3.83,112.21
0.68,63.22
0.39,81.36
1.79,68.39
1.35,77.8
-2.1,103.41
-0.19,46.58
0.52,70.95
2.71,148.76
1.67,79.76
0.06,38.31
2.82,130.78
